Urbanization_level,Age,Self_efficacy,Inservice_training,Digital_activity,Gender,Information_skills,Teacher_type
3,53, , ,0.5,0,1.65277777777778,0
3,30, ,0,0.475,0,1.65277777777778,0
1,32,0.6,0,0.425,0,1.65277777777778,0
3,51,1,0,0.45,0,1.65277777777778,0
3,48, , ,0.475,0,1.66666666666667,0
3,46, , ,0.775,0,1.66666666666667,0
3,50,1,1,0.6,1,1.66666666666667,0
2,50,1,0.6,0.525,0,1.67222222222222,0
3,57,1,0.2,0.7,0,1.69444444444444,0
3,40,1,1,0.65,1,1.69444444444444,0
1,32,1,0.6,0.375,0,1.69444444444444,0
3,38, , ,0.4,1,1.69444444444444,0
2,37,1,1,0.35,0,1.70833333333333,0
2,38,0.4,0,0.475,0,1.72222222222222,0
3,55,1,0,0.45,1,1.72222222222222,0
3,46,0.8,0,0.575,0,1.72222222222222,0
1,40,1,1,0.65,1,1.77777777777778,0
1,36, , ,0.475,0,1.79166666666667,0
3,42,0.2,0.2,0.5,0,1.86111111111111,0
3,56, , ,0.25,1,0,0
1,61, , ,0.275,1,0,0
3,62,0,0,0.425,1,0,0
3,56, , ,0.4,1,0.027777777777778,0
3,57, , ,0.35,0,0.027777777777778,0
3,64, , ,0.2,1,0.055555555555556,0
3,49, , ,0.2,0,0.055555555555556,0
3,48, , ,0.475,0,0.055555555555556,0
3,61, , ,0.325,1,0.105555555555556,0
2,37, , ,0.525,0,0.118055555555556,0
3,60, , ,0.4,1,0.298611111111111,0
2,64, , ,0.475,0,0.381944444444444,0
3,44,1,0.8,0.525,1,0.445833333333333,0
3,64, , ,0.5,0,0.534722222222222,0
3,52,1,1,0.275,1,0.6375,0
2,40, , ,0.45,0,0.736111111111111,0
2,61, , ,0.375,0,0.738888888888889,0
1,64, , ,0.2,1,0.083333333333333,0
2,65, , ,0.15,0,0.083333333333333,0
1,61, , ,0.15,0,0.111111111111111,0
3,47,1,0,0.65,1,0.222222222222222,0
3,40, , ,0.35,0,0.361111111111111,0
1,54, , ,0.375,1,0.436111111111111,0
3,61,0,0,0.25,1,0.444444444444444,0
3,57, , ,0.525,0,0.465277777777778,0
2,52, , ,0.325,1,0.486111111111111,0
2,35,1,1,0.45,1,0.555555555555556,0
3,49, , ,0.4,1,0.5625,0
1,60,0,0,0.5,0,0.597222222222222,0
3,55,0,0,0.3,1,0.598611111111111,0
1,62, , ,0.25,0,0.625,0
3,60, , ,0.35,0,0.819444444444444,0
2,26,0.8,0.4,0.45,0,0.852777777777778,0
3,40,1,0.6,0.525,0,1.05972222222222,0
3,55, , ,0.425,0,1.19444444444444,0
3,61, , ,0.45,0,0.111111111111111,0
3,44, , ,0.375,1,0.166666666666667,0
3,55, , ,0.725,0,0.236111111111111,0
3,51, , ,0.45,1,0.277777777777778,0
3,59,0,0,0.625,1,0.277777777777778,0
3,44,0.8,0.8,0.375,1,0.305555555555556,0
3,57, , ,0.325,0,0.327777777777778,0
2,57, , ,0.15,0,0.388888888888889,0
2,52,0,0,0.325,0,0.430555555555556,0
3,52,0,0,0.475,1,0.444444444444444,0
3,53, , ,0.35,0,0.45,0
3,58,0.2,0.2,0.475,1,0.451388888888889,0
2,63, , ,0.25,0,0.458333333333333,0
3,39, , ,0.525,0,0.483333333333333,0
3,60, , ,0.475,1,0.513888888888889,0
3,53, , ,0.4,0,0.579166666666667,0
1,48,0,0,0.35,0,0.602777777777778,0
3,60,0.2,0,0.2,0,0.616666666666667,0
3,60, , ,0.325,1,0.618055555555556,0
2,61, , ,0.45,0,0.659722222222222,0
2,62, , ,0.3,0,0.666666666666667,0
2,51, , ,0.375,0,0.722222222222222,0
3,49, , ,0.325,0,0.722222222222222,0
2,58, , ,0.3,1,0.722222222222222,0
3,43, , ,0.5,0,0.770833333333333,0
